Nom,Industrie,Siège Social,Site Web,Taille(employés),Fondée,Forme Juridique,Adresse 1,Adresse 2,Ville,Region,Code Postal
Académie de Théâtre Helen O'grady,Arts vivants,"Quartier Californie
Casablanca
Maroc",http://www.academietheatre.com,1-10,2011,Établissement éducatif,Quartier Californie,,Casablanca,,
M3ALEM.COM,Arts et artisanat,"Adresse: 31, av Tarik Ibn Zyad Rabat-Hassan
Rabat
Rabat-Salé-Zemmour-Zaër
10000
Maroc",http://www.m3alem.com,,2009,Société de personnes (associés),"Adresse: 31, av Tarik Ibn Zyad Rabat-Hassan",,Rabat,Rabat-Salé-Zemmour-Zaër,10000
Culture Vultures Fez,Arts et artisanat,"33 kasba Sefrou
Fez Boulemane
Sefrou
Sefrou
31000
Maroc",http://culturevulturesfez.org/,1-10,2009,Travailleur indépendant ou profession libérale,33 kasba Sefrou,Fez Boulemane,Sefrou,Sefrou,31000
Aït Manos Zellige,Arts et artisanat,"157 Bd de la Résistance
Casablanca
22490
Maroc",http://mail@aitmanos.com,51-200,1995,Société à responsabilité limitée,157 Bd de la Résistance,,Casablanca,,22490
GAMA Com,Arts et artisanat,"Temara
RABAT
Maroc",http://www.salon-artisanat.com,11-50,,Société de personnes (associés),Temara,,RABAT,,
Craft Draft,Arts et artisanat,"17 Funduq Khrachfiyen
Fes Medina
Fez
Morocco
Maroc",http://www.craftdraft.org/,1-10,2014,Entreprise individuelle,17 Funduq Khrachfiyen,Fes Medina,Fez,Morocco,
www.alcantara-frederic.com,Arts et artisanat,Maroc,http://www.alcantara-frederic.com,1-10,,Société à responsabilité limitée,,,,,
Toudrabijoux,Arts et artisanat,"N°711,Rue prince my abdellah
tinghir
Tinghir
45800
Maroc",http://www.toudrabijoux.com/,1-10,2015,Société de personnes (associés),"N°711,Rue prince my abdellah",,tinghir,Tinghir,45800
Marrakech Personal Shopper,Arts et artisanat,"BP 22040 Marrakech Gare
Marrakech
Marrakech Safi
40000
Maroc",http://www.marrakechpersonalshopper.com,1-10,2015,Entreprise individuelle,BP 22040 Marrakech Gare,,Marrakech,Marrakech Safi,40000
Kahenas,Arts et artisanat,"Ain Sebaa
Casablanca
Maroc",http://www.kahenas.com,1-10,2013,Société à responsabilité limitée,Ain Sebaa,,Casablanca,,
Arte-Palma,Arts et artisanat,"13 rue Mustapha El Maani
Casablanca
Maroc",http://www.arte-palma.palmleaf-baskets.com,11-50,1976,Société à responsabilité limitée,13 rue Mustapha El Maani,,Casablanca,,
Tankra Rugs,Arts et artisanat,"Douar Taloust
Taznakht
Ouarzazate
Sous-Massa Daraa
45750
Maroc",http://www.tankra.com,1-10,2014,Société à responsabilité limitée,Douar Taloust,Taznakht,Ouarzazate,Sous-Massa Daraa,45750
Cafe Tissardmine,Arts et artisanat,"Oasis Tissardmine, via Rissani, Morocco
via Rissani
Maroc",http://www.cafetissardmine.com,1-10,2010,Société de personnes (associés),"Oasis Tissardmine, via Rissani, Morocco",,via Rissani,,
PUZZELLIGE,Arts et artisanat,"90 rue Azzouza
Hay Nahda 4
Rabat
Maroc",http://www.puzzellige.com,11-50,2012,Société à responsabilité limitée,90 rue Azzouza,Hay Nahda 4,Rabat,,
