Nom,Industrie,Siège Social,Site Web,Taille,Fondée,Forme Juridique,Adresse 1,Adresse 2,Ville,Region,Pays,Code Postal,Profile LinkedIn,Taille/max,Taille/min
Académie de Théâtre Helen O'grady,Arts vivants,"Quartier Californie
Casablanca
Maroc",http://www.academietheatre.com,1-10 employés,2011,Établissement éducatif,Quartier Californie,,Casablanca,,Maroc,,https://www.linkedin.com/company/10233878,10,1
M3ALEM.COM,Arts et artisanat,"Adresse: 31, av Tarik Ibn Zyad Rabat-Hassan
Rabat
Rabat-Salé-Zemmour-Zaër
10000
Maroc",http://www.m3alem.com,Moi uniquement,2009,Société de personnes (associés),"Adresse: 31, av Tarik Ibn Zyad Rabat-Hassan",,Rabat,Rabat-Salé-Zemmour-Zaër,Maroc,10000,https://www.linkedin.com/company/5378332,,
Culture Vultures Fez,Arts et artisanat,"33 kasba Sefrou
Fez Boulemane
Sefrou
Sefrou
31000
Maroc",http://culturevulturesfez.org/,1-10 employés,2009,Travailleur indépendant ou profession libérale,33 kasba Sefrou,Fez Boulemane,Sefrou,Sefrou,Maroc,31000,https://www.linkedin.com/company/10234895,10,1
Aït Manos Zellige,Arts et artisanat,"157 Bd de la Résistance
Casablanca
22490
Maroc",http://mail@aitmanos.com,51-200 employés,1995,Société à responsabilité limitée (SRL),157 Bd de la Résistance,,Casablanca,,Maroc,22490,https://www.linkedin.com/company/10292078,200,51
GAMA Com,Arts et artisanat,"Temara
RABAT
Maroc",http://www.salon-artisanat.com,11-50 employés,,Société de personnes (associés),Temara,,RABAT,,Maroc,,https://www.linkedin.com/company/10342325,50,11
Craft Draft,Arts et artisanat,"17 Funduq Khrachfiyen
Fes Medina
Fez
Morocco
Maroc",http://www.craftdraft.org/,1-10 employés,2014,Entreprise individuelle,17 Funduq Khrachfiyen,Fes Medina,Fez,Morocco,Maroc,,https://www.linkedin.com/company/9280321,10,1
www.alcantara-frederic.com,Arts et artisanat,Maroc,http://www.alcantara-frederic.com,1-10 employés,,Société à responsabilité limitée (SRL),,,,,Maroc,,https://www.linkedin.com/company/985800,10,1
Toudrabijoux,Arts et artisanat,"N°711,Rue prince my abdellah
tinghir
Tinghir
45800
Maroc",http://www.toudrabijoux.com/,1-10 employés,2015,Société de personnes (associés),"N°711,Rue prince my abdellah",,tinghir,Tinghir,Maroc,45800,https://www.linkedin.com/company/6391872,10,1
Marrakech Personal Shopper,Arts et artisanat,"BP 22040 Marrakech Gare
Marrakech
Marrakech Safi
40000
Maroc",http://www.marrakechpersonalshopper.com,1-10 employés,2015,Entreprise individuelle,BP 22040 Marrakech Gare,,Marrakech,Marrakech Safi,Maroc,40000,https://www.linkedin.com/company/10082087,10,1
Kahenas,Arts et artisanat,"Ain Sebaa
Casablanca
Maroc",http://www.kahenas.com,1-10 employés,2013,Société à responsabilité limitée (SRL),Ain Sebaa,,Casablanca,,Maroc,,https://www.linkedin.com/company/3274940,10,1
Arte-Palma,Arts et artisanat,"13 rue Mustapha El Maani
Casablanca
Maroc",http://www.arte-palma.palmleaf-baskets.com,11-50 employés,1976,Société à responsabilité limitée (SRL),13 rue Mustapha El Maani,,Casablanca,,Maroc,,https://www.linkedin.com/company/2857943,50,11
Tankra Rugs,Arts et artisanat,"Douar Taloust
Taznakht
Ouarzazate
Sous-Massa Daraa
45750
Maroc",http://www.tankra.com,1-10 employés,2014,Société à responsabilité limitée (SRL),Douar Taloust,Taznakht,Ouarzazate,Sous-Massa Daraa,Maroc,45750,https://www.linkedin.com/company/4974466,10,1
Cafe Tissardmine,Arts et artisanat,"Oasis Tissardmine, via Rissani, Morocco
via Rissani
Maroc",http://www.cafetissardmine.com,1-10 employés,2010,Société de personnes (associés),"Oasis Tissardmine, via Rissani, Morocco",,via Rissani,,Maroc,,https://www.linkedin.com/company/1885844,10,1
